protocol,α0 (Intercept),α1 (T),α2 (t),δ (MCt),p_value (T),p_value (t),p_value (MCt),airdrop_date
phaver,53.79242331074096,-435.0731465087513,425.63619106043313,-3.357711042435808e-11,0.0011454879393392272,0.0007749004318738267,0.9616574021818907,2024-05-08
Zora,490.9586296750869,-3671.6439531495503,4183.49925837452,-1.8267275552202423e-08,0.1298310426080254,0.18392526397358394,0.3722634930050479,2024-03-06
lens,62.313735542744,-440.31863806815295,556.683787936488,-3.0229446121046076e-09,0.054614960974676954,0.06943580559331772,0.10617675916336584,2024-03-10
