protocol,α0 (Intercept),α1 (T),α2 (t),δ (MCt),p_value (T),p_value (t),p_value (MCt),airdrop_date
Izumi,-194667.45309937123,1382149.1914865165,-1732558.3325481676,2.0718679917702456e-05,0.3119986815927874,0.23270270004513577,0.14841121277689204,2024-02-06
jupiter,-14655693.479086902,123597623.5973848,-110891099.50732161,0.0014910023648011864,0.037040213947866364,0.045110106986910176,0.012430329382876287,2024-01-31
kyberswap,-1326922.6327724806,10585796.264634661,-10644995.022143764,0.000176111776599522,0.12502473282141383,0.12073010048034467,0.09749717527594345,2023-09-07
