protocol,α0 or β0 or γ0 (Intercept),α1 or β1 or γ1 (T),α2 or β2 or γ2 (X),α3 or β3 or γ3 (X*T),α4 or β4 or γ4 (t),α5 or β5 or γ5 (t*X),δ (MCt),S&P 500,p_value (X),p_value (X*T),p_value (MCt),p_value (S&P 500),airdrop_date
Izumi,-62539.342799816994,658573.3749891501,-27567.05955013265,962838.2751062644,-1280147.2171020862,108259.42905702886,-1.0571608364641882e-05,12198.812622938924,0.06522355704658664,0.030666110600130816,0.4670047550717631,0.6718122540575603,2024-02-06
jupiter,-9709233.442978356,156373474.79113835,2044564.221418456,-62280987.06143768,-144608289.70580083,1100503.8019602671,0.0024718692627945294,224441.6603220664,3.1884108340679894e-05,7.608824618393695e-06,1.998774002009182e-06,0.7900303970162653,2024-01-31
kyberswap,-69947.78043473707,998233.4331060974,-33295.40218776348,905110.8097729619,-1170148.7374324761,-127046.65804594531,1.610358047113053e-05,7414.364048723142,0.22429544201440324,0.2560604060993331,0.8136513011748787,0.8389673328235474,2023-09-07
