protocol,α0 or β0 or γ0 (Intercept),α1 or β1 or γ1 (T),α2 or β2 or γ2 (X),α3 or β3 or γ3 (X*T),α4 or β4 or γ4 (t),α5 or β5 or γ5 (t*X),δ (MCt),S&P 500,p_value (X),p_value (X*T),p_value (MCt),p_value (S&P 500),airdrop_date
phaver,84.57317302191174,-1303.6392200173548,-0.09041111964981674,100.14178982134209,1318.1299178282363,97.33904511405296,-1.397341477315975e-09,-6.017800345607787,0.9448152818245656,0.003988348114993321,0.20941399079680492,0.0005271217885419423,2024-05-08
Zora,408.5140015367842,-6137.027655135151,-15.370767636449525,528.796333763837,6526.911321371524,52.302537025147444,-1.0376366807024354e-08,-29.890699268415567,0.19603952512618897,0.07429646328620423,0.16146554956472697,0.16212689096939917,2024-03-06
lens,28.950958071661343,-448.8849538113644,-0.6957915564693905,16.984025945169986,448.5951530151744,-4.58551230718963,-7.396181571032557e-11,-2.452690575974487,0.2564734206098157,0.28729383261288244,0.8463800167004989,0.018351322146304003,2024-03-10
